Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8913942025,73.9633606043,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.7567943941,10.7993885088,14.2542357418,8.42406154,9.6698846229,3.4266682525,7.0238691688,5.607469262,4.4641796142,5.9075141415,5.7039105414,3.6662653853,1.8017809071,1.2588110142
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.5601949974,-2.8309788568,-1.3344006351,-2.668786633,2.0673661131,-7.1016702401,-9.1113175538,-19.3290534001,-8.7591367481
Argentina,,,,,,,,,,,8.8221298337,-2.7484460023,5.1363158189,2.0021192459,-2.9201976909,-7.4850801255,7.0711336397,-9.2750804277,7.6137890446,4.6181938553,-10.4775945683,-12.9732251828,6.0254801587,0.3549436056,-9.7418808828,10.7913008939,0.9137105875,-3.2178198688,-16.1946691878,-2.1819457037,19.2783851458,17.8603791211,6.269988101,5.2292561122,-7.720873001,5.2433169695,8.8680956621,2.4968952673,-7.4212913095,-3.7409626817,-7.9440801059,-23.6276596557,11.9388717766,24.6802460196,9.0624220039,13.2526888806,14.2464625055,3.4171818064,-4.0857233971,7.1098103569
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0191697542,14.0516073819,15.8396135741,10.5803141801,17.3475443734,15.2945976952,15.456979128,7.9308299393,-19.6837288462,4.2159908987
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,-0.3595385582,3.1144827614,3.1545745295,0.5248569523,-0.6265723398,1.0961890317,0.9157361933,-0.3015117976,-0.1440918427,3.0637916168,1.8690129055,0.4281923674,-2.2506297233,3.0192087453,0.8334883324,1.9556427003,0.8473523125,5.3489576025,3.1328904516,-0.2509902993,-1.4572776109,-0.4949011341,2.9371496842,2.5984075858,2.2224622306,3.3826445964,3.0887591447,3.3517375247,2.9422512767,1.2678379424,1.5841195258,3.7531011001,1.7759165438,3.7529571643,0.8415915345,2.0842995105,2.2791150994,1.9086063013,4.9804464706,-1.8674877584
Austria,,,,,,,,,,,4.2746552344,5.9987444331,5.22808346,2.084888818,-0.0467502843,4.7279573844,3.9276070801,0.3855415785,5.3850192365,0.0051435445,-1.4324124383,2.7812807968,3.4964303534,0.2057649686,2.803804357,2.3663639302,1.3232905066,3.8308318177,3.4409803689,4.1291540127,1.6207751984,0.7917856921,-0.7693854576,2.0455558172,2.3750324714,2.2802890846,1.3187489478,3.1143209225,2.7555980535,2.4958652502,0.4011718734,2.3967180754,0.5452261816,2.1328971328,0.8872250754,3.3357126414,2.7620345884,1.2147315911,-4.9873926578,2.0733624248
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.6145534122,-16.1467812226,23.7454552977,48.0062091475,13.5981773592,9.0282707989,15.9957899094,27.5310792466,19.9318037957,30.0594414349,9.6663499823,-5.7707860446
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5504484864,17.6262651573,1.8331414644,-10.4022730301,-7.8698000223,-32.5753872377,26.4715008559,10.6201693207,0.590853875,-0.1626560202,-3.3290416752,5.9802659859,26.5562922865
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6622230316,1.5475164426,-0.4152068564,2.2399071369,0.6601257218,1.105262084,2.6995603572,-1.7083511022,-4.3990082721,4.4103431994
Benin,,,,,,,,,,,-1.4492888181,3.6951505083,3.1172650127,-2.8617973636,-8.0535640363,-4.3310195525,3.5742539895,-0.7775005967,7.3863317511,6.1148935038,1.1858438047,-2.8761831965,-12.7884322373,2.6497512417,4.5659592299,-2.2421417287,-5.3153473784,1.3593074088,-6.6380258195,9.8665933803,2.9144223802,-3.2156101388,4.0394060765,-5.2786450217,4.5033448897,3.0467496333,3.3038087743,0.9842441015,-6.4234678253,4.0890989391,1.7839672714,2.7495425541,1.1336096528,2.1745757674,-2.7258979893,0.4401011288,3.3682912126,2.47099515,0.0708212235,-1.7535465813
