Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2.7683826627,,,4.5061790981,15.442822948,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.0047225682,0.0045613952,0.0878912529,0.10580903,1.2241480837,2.1071236455,1.9,1.84,3.55,4
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0007759285,0.005673746,0.0184537241,0.071964087,0.1050455625,0.1360138674,0.2703767456,0.3706820652,0.464814618,1.1433668266,1.5,1.7,1.9,2.3,2.8
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0111686955,0.0321968282,0.0485939188,0.06502737,0.0814370446,0.1140973466,0.3257983771,0.3900812734,0.9719004152,2.4203877978,6.043890864,9.6099913158,15.0361154084,23.86,41.2,45
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.1029391746,0.3753935343,3.295592694,6.9083029857,14.9426989907,23.6253008752,26.271754201,28.316485311,29.4779534121,30.1312961695,40,52,61,63,64,68
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0029928741,0.0295270653,0.0437059511,0.086277081,0.1419547044,0.2803398818,0.8307666797,3.2844819559,7.0386830862,9.7808072853,10.8821243775,11.913696551,16.0366841055,17.7205833696,20.9272021036,25.9466329404,28.11262348,34,45
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0091170141,0.0527431233,0.0945729025,0.1116509345,0.1286594776,0.9707377575,1.3004700224,1.6310946668,1.9604050458,4.5752172248,4.8990085713,5.252983352,5.6317877773,6.0212533971,6.21,15.3,25
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2.2007688019,2.8584495769,3.480536838,4.0717165,5.3006811375,6.482225737,8.8992855145,12.5,17.2286487817,24.2665437162,27,30,34,38,42,47
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5850947122,1.0972038914,1.7687649125,1.9746110157,2.2321012544,2.7596545133,3.2752498702,16.3693583751,30.8132394396,40.7837839022,46.7561156117,52.689266431,,,,63,66,69.45,71.67,74.25,76
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1303693769,0.2590815533,0.6428176188,0.76534273,1.3934229676,1.8902105241,6.9091623533,9.5339743175,15.421219322,23.0443171023,33.7301329517,39.1854501811,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17
